"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000110367.13",7364.61266990255,-0.161297801952213,0.106046556670969,-1.52100932850345,0.128257496372396,0.292103667622907
"ENSG00000066279.18",5212.03500305963,-0.333280260753345,0.219183835092709,-1.52055127884944,0.128372481165518,0.292331288099942
"ENSG00000076003.5",7812.42017788168,-0.150230469112967,0.0988152876890194,-1.52031606269017,0.1284315589109,0.292431557988784
"ENSG00000070669.17",14.0111443592824,0.798300254844223,0.525177377270576,1.52005834484552,0.128496312520442,0.292544726501968
"ENSG00000133111.3",201.205232017411,-0.28025929147989,0.184389293857846,-1.51993256016239,0.128527926112026,0.29256040748683
"ENSG00000276564.1",5.85731111400514,-1.34269016642902,0.88340042600519,-1.51991116022071,0.128533305182653,0.29256040748683
"ENSG00000188186.10",1583.24414264461,0.270657120448071,0.178105982542754,1.51964081489009,0.128601274016155,0.29268083861569
"ENSG00000090889.12",4975.17983595716,-0.170547232400594,0.112277815281445,-1.51897533785356,0.128768703837709,0.293027576137421
"ENSG00000189077.11",819.485153328007,0.237598174500749,0.156430862241903,1.51887019668363,0.128795172179892,0.293053496428047
"ENSG00000152219.5",779.578970877551,-0.146575519768419,0.0965188240191699,-1.51862106959889,0.128857904554032,0.293161914188479
"ENSG00000176700.20",31.4622315899745,-0.604186750805544,0.397974481450594,-1.51815450227693,0.128975454139404,0.293360670175945
"ENSG00000181016.9",23.2353772918625,0.699163482114179,0.460528539259691,1.5181762312453,0.128969977772402,0.293360670175945
"ENSG00000116954.8",539.787733008628,-0.215272932967896,0.141827029759583,-1.51785547037694,0.129050837708863,0.29349778629879
"ENSG00000124215.17",5.67835972001837,-1.24549583359783,0.820614654374349,-1.51775967801528,0.129074993440368,0.293500769081932
"ENSG00000247950.7",27.3136559796057,0.585713238026513,0.385913860644257,1.51773050350849,0.129082351003929,0.293500769081932
"ENSG00000163013.11",1431.03543579054,-0.126790686814163,0.0835601307891863,-1.51735864480685,0.129176159162949,0.293679708678334
"ENSG00000259240.1",5.50547693163147,-1.33206858321107,0.877931848930479,-1.51728016796957,0.129195963145807,0.293690378912504
"ENSG00000140577.16",869.66035698131,-0.157560478352302,0.103877613824434,-1.51678954253414,0.129319828145506,0.293929594492022
"ENSG00000170522.9",1843.53920198378,-0.145571112594471,0.0959760873432515,-1.5167435621109,0.129331441247982,0.293929594492022
"ENSG00000141449.14",1873.36129900801,0.290908918115977,0.191817345936471,1.5165933857323,0.129369376373568,0.293981433321252
"ENSG00000127314.18",4519.47244029976,-0.114314940453574,0.0754020674423129,-1.51607169844555,0.129501223723545,0.294246643008046
"ENSG00000077514.9",3618.28136406203,0.122954763633964,0.0811061489736709,1.51597339030211,0.129526081069902,0.29426872141141
"ENSG00000240036.4",7.90214745008879,-0.95400040321045,0.629433334649189,-1.51564963387609,0.129607969510827,0.294420347757413
"ENSG00000123728.10",1829.93720294725,-0.127664916475273,0.0842420716965919,-1.51545319226091,0.129657675521753,0.294464428773171
"ENSG00000134222.16",2325.6650899611,-0.166964369989531,0.110172856759437,-1.51547645128327,0.129651789472901,0.294464428773171
"ENSG00000173531.15",74.2461197238895,0.406703187641038,0.268387881629172,1.51535600330485,0.129682272907937,0.294485881088757
"ENSG00000104408.10",17728.5726950668,-0.110107010452336,0.0726838073285138,-1.51487675865242,0.129803617098724,0.294726997889112
"ENSG00000172172.8",2297.64860750723,-0.163967107630899,0.10824783391219,-1.51473800172212,0.129838766642832,0.294772371039609
"ENSG00000171291.8",98.2743171345718,0.330564114308954,0.218248744168854,1.51462092287323,0.129868430499019,0.294805280913214
"ENSG00000283828.1",12.6836089479825,0.834164293848914,0.550858868103689,1.5142976579836,0.129950362304491,0.294956819076269
"ENSG00000174151.14",664.172383062544,0.162185615110065,0.10712779468641,1.51394524254721,0.130039728051678,0.295125193182207
"ENSG00000089558.9",8.69666636319667,0.918723091243283,0.606896716216408,1.51380468322666,0.130075384483871,0.295171648900002
"ENSG00000198881.10",2.75025650669202,2.1988770706049,1.45264843899326,1.51370215365309,0.130101398493417,0.295196215400193
"ENSG00000134242.16",2.976623801367,-1.58105278651477,1.04455429154959,-1.51361475349385,0.13012357702545,0.295212074596317
"ENSG00000248206.2",3.80088487965425,1.43578641027836,0.948689298972802,1.51344219001202,0.13016737508925,0.295276972716463
"ENSG00000156427.8",32.7512175737236,0.597231410220012,0.394679075929526,1.51320768351716,0.130226913148082,0.295343090308765
"ENSG00000224378.9",9.99301198087068,0.890027591154354,0.588162590084238,1.51323393592048,0.130220246964113,0.295343090308765
"ENSG00000122033.14",552.775261900989,-0.211198715502678,0.139624735079692,-1.51261676795401,0.130377032416474,0.295649049357904
"ENSG00000204253.4",374.311473613835,-0.190315171603029,0.125847317249893,-1.51227039051714,0.130465090347248,0.295814220250712
"ENSG00000187801.15",155.221294739501,0.252705692756168,0.167142287020554,1.51191955824496,0.130554327842388,0.295982026821959
"ENSG00000147439.13",268.109092387844,0.223790741754902,0.148024054632624,1.51185388287276,0.130571038253126,0.295985385991107
