Ensembl ID#,S2-013-1,S2-013-2,S2-013-3,S2-LM7AA-1,S2-LM7AA-2,S2-LM7AA-3,Suit2-1,Suit2-2,Suit2-3,Suit2-OE-1,Suit2-OE-2,Suit2-OE-3
ENSG00000165637.13,8750,6727,7964,5201,8659,6556,5512,4880,3920,5252,5664,7660
ENSG00000165643.10,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165644.11,1180,849,1159,568,1117,860,603,594,372,939,731,1114
ENSG00000165646.14,22,13,11,8,10,5,10,7,5,8,9,13
ENSG00000165650.12,7253,5537,4791,3703,6477,3632,5370,3645,4368,4509,5610,6079
ENSG00000165655.17,649,491,478,388,647,483,305,264,156,433,439,505
ENSG00000165660.8,2174,1733,1645,1361,2249,1441,1385,1086,971,1229,1513,1857
ENSG00000165661.16,3788,2858,3221,2179,3680,2852,2126,1582,1478,2428,2122,3236
ENSG00000165669.14,1664,1376,1663,903,1764,1197,966,902,725,969,1151,1503
ENSG00000165671.20,6522,5961,4392,2974,5402,2745,2924,1335,2135,3085,4392,3796
ENSG00000165672.7,21202,16609,18609,12521,20792,14546,11895,10425,8173,12127,14536,17386
ENSG00000165675.16,911,726,622,770,1339,889,733,543,556,685,817,939
ENSG00000165678.21,12517,10612,11957,7512,13348,9664,8635,7489,6008,7843,9731,11910
ENSG00000165682.14,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165684.4,2142,1386,1657,772,1501,912,867,631,528,1030,802,1317
ENSG00000165685.8,4,2,4,1,0,3,0,0,0,5,3,1
ENSG00000165688.12,7041,5260,6455,2953,5322,4295,3764,3244,2712,3983,3655,5589
ENSG00000165689.17,4455,3090,3770,2093,3629,2866,2742,2517,1776,2615,2020,3708
ENSG00000165694.9,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000165695.9,19,14,22,6,11,5,0,4,5,4,21,6
ENSG00000165698.16,284,267,321,137,253,210,93,98,70,150,231,163
ENSG00000165699.14,2157,1969,1812,1097,2135,1235,1354,939,1075,1321,1688,1810
ENSG00000165702.14,5,3,2,4,7,4,1,7,1,1,3,5
ENSG00000165704.15,7079,5298,6368,3621,5944,4465,3491,3262,2524,3194,3763,4947
ENSG00000165714.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165716.11,185,144,131,88,153,130,47,43,29,86,79,127
ENSG00000165724.6,2590,1898,2435,1206,2043,1715,1328,1390,954,1564,1183,2311
ENSG00000165730.16,468,390,395,245,380,228,193,186,132,241,285,305
ENSG00000165731.20,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165732.13,32897,21322,22783,16023,25497,16351,19801,13952,13252,14462,11556,21305
ENSG00000165733.8,9475,7375,7799,5710,9290,6712,6098,4012,4217,5420,5377,7917
ENSG00000165752.17,2109,1785,2135,1206,2013,1731,1022,975,717,1283,1101,1596
ENSG00000165757.9,2480,2039,1659,119,144,94,77,67,79,78,105,118
ENSG00000165762.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165775.18,1035,905,1060,786,1228,984,698,693,506,802,953,1246
ENSG00000165782.10,1031,886,1121,658,1115,838,554,544,418,749,838,1009
ENSG00000165792.17,1619,1480,1569,913,1658,1145,844,743,525,986,1000,1472
ENSG00000165794.10,0,0,0,0,0,0,2,0,1,1,0,3
